config,test_accuracy,test_f1
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=100,0.7661,0.7792
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=2 hidden_size=150,0.7638,0.779
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.0 num_layers=1 hidden_size=200,0.7546,0.7789
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=150,0.7752,0.7788
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.5 num_layers=3 hidden_size=150,0.7775,0.7785
gru vocab_size=3000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=1 hidden_size=100,0.7706,0.7783
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=2 hidden_size=200,0.7626,0.7781
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=100,0.7706,0.7778
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=100,0.7787,0.7774
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=150,0.7718,0.7772
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=100,0.7683,0.777
gru vocab_size=1000 train_batch_size=32 test_batch_size=48 dropout=0.0 num_layers=3 hidden_size=200,0.7649,0.7769
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=1 hidden_size=100,0.7649,0.7764
gru vocab_size=3000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=3 hidden_size=200,0.7752,0.7757
gru vocab_size=1000 train_batch_size=10 test_batch_size=15 dropout=0.5 num_layers=3 hidden_size=150,0.7626,0.7757
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.5 num_layers=1 hidden_size=150,0.7729,0.7755
gru vocab_size=2000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=1 hidden_size=200,0.7603,0.7755
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=3 hidden_size=200,0.7798,0.7746
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.0 num_layers=2 hidden_size=150,0.7569,0.7745
gru vocab_size=2000 train_batch_size=32 test_batch_size=48 dropout=0.25 num_layers=2 hidden_size=150,0.781,0.7745
gru vocab_size=2000 train_batch_size=10 test_batch_size=15 dropout=0.25 num_layers=3 hidden_size=200,0.789,0.7745
gru vocab_size=1000 train_batch_size=20 test_batch_size=30 dropout=0.25 num_layers=1 hidden_size=200,0.7615,0.7744
